mai	other	Maithili	People’s Watch, India
mjz	other	Majhi	Nepal Majhi Utthan Sangha
kde	UN	Makonde	United Nations Development Programme, Tanzania
vmw	other	Makua (Mozambique)	Procuradoria-Geral da Republica, Portugal
mex	UN	Malagasy	United Nations Information Centre, Madagascar
mli	other	Malay (Bahasa Melayu)	Diffusion Multilingue des Droits de l'Homme, France
mjs	UN	Malayalam	United Nations Department of Public Information, NY
div	other	Maldivian (Dhivehi)	Human Rights Commission of the Maldives, Maldives
mls	other	Maltese	Maltese University, Malta
mam	other	Mam	Instituto de Linguistica, Argentina
mni	other	Maninka	Ministère de l'Education Nationale, Guinea
bpy	other	Manipuri	People’s Watch, India
mbf	other	Maori	New Zealand Human Rights Commission, New Zealand
rrt	other	Maori (Cook Islands) (Rarotongan)	Ministry of Foreign Affairs and Immigration, Cook Islands
aru	UN	Mapudungun (Mapuzgun)	United Nations Information Centre, Argentina/Uruguay
mrt	UN	Marathi	United Nations Department of Public Information, NY
mzm	UN	Marshallese	United Nations Information Centre, NY
mkd	UN	Marwari	United Nations Information Centre, NY
mcf	other	Matsés	Coordinadora Nacional de Derechos Humanos, Peru
yua	UN	Mayan (Yucateco)	United Nations Information Centre, Mexico
maz	UN	Mazahua (Jñatrjo)	United Nations Department of Public Information, NY, in cooperation with the Ministry of Education, Mexico
mao	UN	Mazateco	United Nations Department of Public Information, NY, in cooperation with the Ministry of Education, Mexico
mlo	UN	Mbundu (Kimbundu)	United Nations Educational, Scientific and Cultural Organization, Angola
mfy	other	Mende	National Commission for Democracy and Human Rights, Sierra Leone
mic	UN	Mikmaq/Micmac	Permanent Mission of Canada to the United Nations Office in Geneva
mpu	UN	Minangkabau	United Nations Information Centre, Indonesia
miq	other	Miskito	Comité para la Defensa de los Derechos Humanos, Honduras
mto	other	Mixe	VIDES International
mxv	UN	Mixteco	United Nations Information Centre, Mexico
lus	other	Mizo	People’s Watch, India
khk	other	Mongolian (Khalkha)	CHR Technical Cooperation Branch, Mongolia
mhm	other	Mooré/More	National Commission for UNESCO, Burkina-Faso
moz	other	Mozarabic (Ajami)	(no attribution)
unr	other	Mundari	People’s Watch, India
1111	other	Ñahñú (Otomí)	Casa del Escritor Indigena, Mexico
nhn	UN	Nahuatl	United Nations Information Centre, Mexico
gld	UN	Nanai	Office of the High Commissioner for Human Rights - Russian Federation
nav	other	Navaho (Dine, Navajo)	Navajo Interpreting Services, US
nel	UN	Ndebele	United Nations Information Centre, Zimbabwe
dut	UN	Nederlands (Dutch)	United Nations Department of Public Information, NY
yrk	UN	Nenets	Office of the High Commissioner for Human Rights - Russian Federation
nep	UN	Nepali	United Nations Department of Public Information, NY
new	other	Newar	Newa: Dey Daboo
nio	UN	Nganasan	Office of the High Commissioner for Human Rights - Russian Federation
nba	UN	Ngangela (Nyemba)	United Nations Educational, Scientific and Cultural Organization, Angola
ige	other	Niederdeutsche (Low German)	Institute for Low German
pcm	UN	Nigerian Pidgin English	United Nations Information Centre, Nigeria
jpn	UN	Nihongo (Japanese)	United Nations Information Centre, Japan, and the Ministry of Justice and Human Rights NGOs
Nivkh	UN	Nivkh	Office of the High Commissioner for Human Rights - Russian Federation
not	other	Nomatsiguenga	Coordinadora Nacional de Derechos Humanos, Peru
srt	other	Northern Sotho/Pedi/Sepedi	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with UNESCO
nrr	UN	Norwegian (Bokmål) (Norsk, Bokmål)	United Nations Information Centre, Denmark
nrn	other	Norwegian (Nynorsk) (Norsk, Nynorsk)	Diffusion Multilingue des Droits de l'Homme, France
nus	UN	Nuer	United Nations Mission In Sudan
nyz	UN	Nyamwezi (Kinyamwezi)	United Nations Development Programme, Tanzania
nyj1	other	Nyanja (Chechewa)	Amnesty International, UK
nyj	UN	Nyanja/Chinyanja	United Nations Information Centre, Zambia
nze	UN	Nzema	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
auv1	other	Occitan Auvergnat	Diffusion Multilingue des Droits de l'Homme, France
prv1	other	Occitan Languedocien	Diffusion Multilingue des Droits de l'Homme, France
oki	other	Ogiek	Peter Kiplangat Cheruiyot, Former OHCHR Fellow
ojb	UN	Ojibway (Ojibwe)	Permanent Mission of Canada to the United Nations Office in Geneva
ory	UN	Oriya	United Nations Department of Public Information, NY
gax	other	Oromiffa (Afaan Oromo)	Dema Translation and Editing Service
ose	other	Osetin (Ossetian)	Kazbek T Boutaev, (University of Pennsylvania, Philadelphia, US)
1114	UN	Oshiwambo (Ndonga)	United Nations Information Centre, Namibia
1111	other	Otomí (Ñahñú)	Casa del Escritor Indigena, Mexico
lot	UN	Otuho	United Nations Mission In Sudan
pbb	other	Paez	Centro Colombiano de Estudios de Lenguas Aborígenes from the University of Los Andes, Colombia
1123	UN	Pai Koka	Office of the High Commissioner for Human Rights - Ecuador Field Office
plu	UN	Palauan	United Nations Department of Public Information, NY
pap	other	Papiamentu	Ramon Todd, Former OHCHR Fellow
pbu	UN	Pashto/Pakhto	United Nations Development Programme, Pakistan
prs	UN	Persian/Farsi	United Nations Information Centre, Iran
fum	other	Peuhl	Ministère de l'Education Nationale, Guinea
frn2	other	Picard	Diffusion Multilingue des Droits de l'Homme, Belgium
pis	UN	Pijin (Solomons Pidgin)	United Nations Development Programme, Solomons Islands
ppl	UN	Pipil	Office of the High Commissioner for Human Rights and the Government of El Salvador
pql	UN	Polish (Polski)	United Nations Department of Public Information, NY
pnf	UN	Ponapean	United Nations Department of Public Information, NY
por	UN	Portuguese	United Nations Information Centre, Portugal
pro	other	Prouvençau	Prof. Philippe Blanchet. Université de Rennes, France
fum1	UN	Pulaar	United Nations Information Centre, Senegal
fuf	other	Pular	Ministère de l'Education Nationale, Guinea
pnj1	UN	Punjabi/Panjabi	United Nations Department of Public Information, NY
1112	UN	Purhépecha	United Nations Department of Public Information, Mexico, in cooperation with the Casa del Escritor Indigena
1116	other	Q'echi/Kekchi	Instituto de Linguistica, Argentina
qec1	UN	Quechua	United Nations Information Centre, Bolivia
qeg	other	Quechua de Ambo-Pasco	Coordinadora Nacional de Derechos Humanos, Peru
quy	other	Quechua de Ayacucho	Coordinadora Nacional de Derechos Humanos, Peru
qnt	other	Quechua de Cajamarca	Coordinadora Nacional de Derechos Humanos, Peru
qar	other	Quechua de Cotahuasi (Arequipa)	Coordinadora Nacional de Derechos Humanos, Peru
qej	other	Quechua de Huamalies (Huanuco)	Coordinadora Nacional de Derechos Humanos, Peru
qei	other	Quechua de Margos (Sur de Dios de Mayo, Huanuco)	Coordinadora Nacional de Derechos Humanos, Peru
qed	other	Quechua de Pomabamba (Ancash)	Coordinadora Nacional de Derechos Humanos, Peru
qan	other	Quechua del Callejon de Huaylas	Coordinadora Nacional de Derechos Humanos, Peru
quz	other	Quechua del Cusco	Coordinadora Nacional de Derechos Humanos, Peru
qju	other	Quechua del Norte de Junin	Coordinadora Nacional de Derechos Humanos, Peru
qud1	other	Quichua	Sociedad Ecuatoriana Para Los Derechos Humanos, Instituto de Derechos Humanos-Universidad Central del Ecuador, Fundacion Friedrich Naumann
raj	other	Rajasthani	People’s Watch, India
rjs	other	Rajbansi	Rajbansi Society Development
rrt	other	Rarotongan (Maori (Cook Islands))	Ministry of Foreign Affairs and Immigration, Cook Islands
rhe	other	Rhaeto-Romance (Rumantsch)	NGO, Switzerland
rmn1	other	Romani	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with Institut National des Langues et Civilisations Orientales
rum	UN	Romanian (Româna)	United Nations Department of Public Information, NY
koo1	other	Rukonzo (Konjo)	NGO, Uganda
rud1	other	Rundi/Kirundi	Ligue burundaise des droits de l'homme, Burundi
nyn1	other	Runyankore-rukiga/Nkore-kiga	NGO, Uganda
rus	original	Russian (Russky)	United Nations Department of Public Information, NY
lpi	other	Sami/Lappish	Diffusion Multilingue des Droits de l'Homme, France
eml	other	Sammarinese	C. Guidi, Biblioteca Popolare di Serravalle, San Marino
smy	UN	Samoan	United Nations Development Programme, Samoa
saj	UN	Sango (Sangho)	United Nations Development Programme, Central African Republic
skt	UN	Sanskrit	United Nations Information Centre, India
sat	other	Santhali	People’s Watch, India
1124	UN	Sapara Atupama	Office of the High Commissioner for Human Rights - Ecuador Field Office
skr	other	Saraiki	Actaf Hussain
srd	other	Sardinian	Amnesty International, UK
hns	other	Sarnámi Hindustani	Deep Mahangi, Former OHCHR Fellow
sco	other	Scots	Amnesty International, UK
gls	other	Scottish Gaelic	Diffusion Multilingue des Droits de l'Homme, France
ses	UN	Seereer	United Nations Information Centre, Senegal
src5	UN	Serbian (Cyrillic) (Srpski)	Permanent Mission of the Federal Republic of Yugoslavia to the United Nations Office in Geneva
src3	UN	Serbian (Latin) (Srpski)	Permanent Mission of the Federal Republic of Yugoslavia to the United Nations Office in Geneva
crs	other	Seselwa Creole French	(no attribution)
sjn	UN	Shan	United Nations Information Centre, Burma
mcd	other	Sharanahua	Coordinadora Nacional de Derechos Humanos, Peru
xsr	other	Sherpa	Nepal Sherpa Association
shk	UN	Shilluk	United Nations Mission In Sudan
swb	other	Shimaore	Service linguistique du Conseil Général de Mayotte
shp	other	Shipibo-Conibo	Coordinadora Nacional de Derechos Humanos, Peru
shd	UN	Shona	United Nations Information Centre, Zimbabwe
cjs	UN	Shor	Office of the High Commissioner for Human Rights - Russian Federation
aln	UN	Shqip (Albanian)	United Nations Department of Public Information, NY
1125	UN	Shuar Chicham	Office of the High Commissioner for Human Rights - Ecuador Field Office
1126	UN	Sia Pedee	Office of the High Commissioner for Human Rights - Ecuador Field Office
snd	UN	Sindhi	United Nations Information Centre, India
snh	other	Sinhala	Human Rights Centre of the Sri Lanka Foundation, Sri Lanka
swz1	UN	Siswati	United Nations Information Centre, Swaziland
slo	UN	Slovak (Slovencina)	United Nations Department of Public Information, NY
slv	UN	Slovenian (Slovenscina)	Permanent Mission of the Republic of Slovenia to the United Nations in Geneva
pis	UN	Solomons Pidgin (Pijin)	United Nations Development Programme, Solomons Islands
som	other	Somali	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with l'Agence de Coopération Culturelle et Technique
snn	other	Soninké (Soninkanxaane)	Tostan, Senegal
wee	UN	Sorbian	Permanent Mission of Germany to the United Nations Office in Geneva
sso	other	Southern Sotho/Sotho/Sesotho/Sutu/Sesutu	Diffusion Multilingue des Droits de l'Homme, South Africa
spn	original	Spanish (Español)	United Nations Department of Public Information, NY
sua	UN	Sukuma	United Nations Development Programme, Tanzania
suo	UN	Sundanese	United Nations Information Centre, NY
fin	UN	Suomi (Finnish)	United Nations Information Centre, Denmark
sus	other	Sussu/Soussou/Sosso/Soso/Susu	Ministère de l'Education Nationale, Guinea
